"VarCategory"	"GOBPID"	"Term"	"MeanPvalue"	"NConditions"	"EnrichmentTest"	"TestDirection"
"LV"	"GO:0019748"	"secondary metabolic process"	0.00854716890243552	1	"GOStats"	"enrichment"
"LV"	"GO:0019751"	"polyol metabolic process"	0.00503134722136176	1	"GOStats"	"enrichment"
"LV"	"GO:0019941"	"modification-dependent protein catabolic process"	0.000660051214954777	4	"GOStats"	"enrichment"
"LV"	"GO:0021508"	"floor plate formation"	0.00423721296170441	2	"GOStats"	"enrichment"
"LV"	"GO:0021538"	"epithalamus development"	0.00223527510283189	1	"GOStats"	"enrichment"
"LV"	"GO:0021545"	"cranial nerve development"	0.00576586875797501	1	"GOStats"	"enrichment"
"LV"	"GO:0021551"	"central nervous system morphogenesis"	0.000689619693710524	1	"GOStats"	"enrichment"
"LV"	"GO:0021871"	"forebrain regionalization"	0.00738544299258829	1	"GOStats"	"enrichment"
"LV"	"GO:0021982"	"pineal gland development"	0.0075589838771476	1	"GOStats"	"enrichment"
"LV"	"GO:0021986"	"habenula development"	0.00609146511112008	1	"GOStats"	"enrichment"
"LV"	"GO:0022008"	"neurogenesis"	4.22519837124462e-05	1	"GOStats"	"enrichment"
"LV"	"GO:0022402"	"cell cycle process"	0.00453067381541568	2	"GOStats"	"enrichment"
"LV"	"GO:0022607"	"cellular component assembly"	0.00138737302252812	1	"GOStats"	"enrichment"
"LV"	"GO:0022613"	"ribonucleoprotein complex biogenesis"	0.0014990106569132	2	"GOStats"	"enrichment"
"LV"	"GO:0023061"	"signal release"	0.00374759856684803	1	"GOStats"	"enrichment"
"LV"	"GO:0030030"	"cell projection organization"	0.00211317115594267	1	"GOStats"	"enrichment"
"LV"	"GO:0030031"	"cell projection assembly"	0.0035484325452587	1	"GOStats"	"enrichment"
"LV"	"GO:0030071"	"regulation of mitotic metaphase/anaphase transition"	0.00310605168815706	2	"GOStats"	"enrichment"
"LV"	"GO:0030097"	"hemopoiesis"	0.00397692498752004	1	"GOStats"	"enrichment"
"LV"	"GO:0030163"	"protein catabolic process"	0.00339790218800949	4	"GOStats"	"enrichment"
"LV"	"GO:0030182"	"neuron differentiation"	0.00026709361868948	1	"GOStats"	"enrichment"
"LV"	"GO:0030219"	"megakaryocyte differentiation"	0.00711235899363563	1	"GOStats"	"enrichment"
"LV"	"GO:0030225"	"macrophage differentiation"	0.00723178597859854	1	"GOStats"	"enrichment"
"LV"	"GO:0030433"	"ubiquitin-dependent ERAD pathway"	0.000754322932185716	1	"GOStats"	"enrichment"
"LV"	"GO:0030518"	"intracellular steroid hormone receptor signaling pathway"	0.00317144116099164	1	"GOStats"	"enrichment"
"LV"	"GO:0030705"	"cytoskeleton-dependent intracellular transport"	0.000763077359398878	1	"GOStats"	"enrichment"
"LV"	"GO:0030968"	"endoplasmic reticulum unfolded protein response"	0.000932759221253309	1	"GOStats"	"enrichment"
"LV"	"GO:0031023"	"microtubule organizing center organization"	0.00488673067989679	2	"GOStats"	"enrichment"
"LV"	"GO:0031053"	"primary miRNA processing"	0.00567397837869022	1	"GOStats"	"enrichment"
"LV"	"GO:0031056"	"regulation of histone modification"	0.00917899402536983	1	"GOStats"	"enrichment"
"LV"	"GO:0031057"	"negative regulation of histone modification"	0.00900138140058105	1	"GOStats"	"enrichment"
"LV"	"GO:0031098"	"stress-activated protein kinase signaling cascade"	0.00344565771312143	1	"GOStats"	"enrichment"
"LV"	"GO:0031103"	"axon regeneration"	0.00997960855862593	1	"GOStats"	"enrichment"
"LV"	"GO:0031109"	"microtubule polymerization or depolymerization"	0.00069256868981528	1	"GOStats"	"enrichment"
"LV"	"GO:0031113"	"regulation of microtubule polymerization"	0.00606721408159728	1	"GOStats"	"enrichment"
"LV"	"GO:0031114"	"regulation of microtubule depolymerization"	0.00388448403251304	1	"GOStats"	"enrichment"
"LV"	"GO:0031123"	"RNA 3'-end processing"	0.00572076746190675	3	"GOStats"	"enrichment"
"LV"	"GO:0031124"	"mRNA 3'-end processing"	0.00519865198401531	3	"GOStats"	"enrichment"
"LV"	"GO:0031175"	"neuron projection development"	0.00659912051513509	1	"GOStats"	"enrichment"
