Gene name	Gene stable ID	Gene type
	ENSLOCG00000000505	protein_coding
	ENSLOCG00000000506	protein_coding
	ENSLOCG00000000507	protein_coding
slc31a1	ENSLOCG00000000508	protein_coding
	ENSLOCG00000000509	protein_coding
kazna	ENSLOCG00000000510	protein_coding
	ENSLOCG00000000511	protein_coding
	ENSLOCG00000000512	protein_coding
	ENSLOCG00000000513	protein_coding
	ENSLOCG00000000514	protein_coding
	ENSLOCG00000000515	protein_coding
	ENSLOCG00000000516	protein_coding
	ENSLOCG00000000517	protein_coding
	ENSLOCG00000000518	protein_coding
pdap1a	ENSLOCG00000000519	protein_coding
	ENSLOCG00000000520	protein_coding
	ENSLOCG00000000521	protein_coding
	ENSLOCG00000000522	protein_coding
	ENSLOCG00000000523	protein_coding
	ENSLOCG00000000524	protein_coding
	ENSLOCG00000000525	protein_coding
	ENSLOCG00000000526	protein_coding
si:ch211-202p1.5	ENSLOCG00000000527	protein_coding
	ENSLOCG00000000528	protein_coding
	ENSLOCG00000000529	protein_coding
	ENSLOCG00000000530	protein_coding
	ENSLOCG00000000531	protein_coding
	ENSLOCG00000000532	protein_coding
rpl10a	ENSLOCG00000000533	protein_coding
	ENSLOCG00000000534	protein_coding
MRPS12	ENSLOCG00000000535	protein_coding
rassf7a	ENSLOCG00000000536	protein_coding
	ENSLOCG00000000537	protein_coding
RPL7A	ENSLOCG00000000538	protein_coding
	ENSLOCG00000000539	protein_coding
	ENSLOCG00000000540	protein_coding
ccny	ENSLOCG00000000541	protein_coding
	ENSLOCG00000000542	protein_coding
	ENSLOCG00000000543	protein_coding
znf319b	ENSLOCG00000000544	protein_coding
kcnk2a	ENSLOCG00000000545	protein_coding
cdc26	ENSLOCG00000000546	protein_coding
	ENSLOCG00000000547	protein_coding
	ENSLOCG00000000548	protein_coding
	ENSLOCG00000000549	protein_coding
	ENSLOCG00000000550	protein_coding
	ENSLOCG00000000551	protein_coding
garem	ENSLOCG00000000552	protein_coding
CCDC39	ENSLOCG00000000553	protein_coding
si:ch73-22o12.1	ENSLOCG00000000554	protein_coding
scap	ENSLOCG00000000555	protein_coding
	ENSLOCG00000000556	protein_coding
	ENSLOCG00000000557	protein_coding
	ENSLOCG00000000558	protein_coding
zgc:113223	ENSLOCG00000000559	protein_coding
	ENSLOCG00000000560	protein_coding
	ENSLOCG00000000561	pseudogene
tspo	ENSLOCG00000000562	protein_coding
txndc11	ENSLOCG00000000563	protein_coding
	ENSLOCG00000000564	protein_coding
	ENSLOCG00000000565	protein_coding
	ENSLOCG00000000566	protein_coding
hivep2a	ENSLOCG00000000567	protein_coding
	ENSLOCG00000000568	protein_coding
	ENSLOCG00000000569	protein_coding
	ENSLOCG00000000570	protein_coding
	ENSLOCG00000000571	protein_coding
	ENSLOCG00000000572	protein_coding
	ENSLOCG00000000573	protein_coding
dynlrb2	ENSLOCG00000000574	protein_coding
	ENSLOCG00000000575	protein_coding
	ENSLOCG00000000576	protein_coding
	ENSLOCG00000000577	protein_coding
	ENSLOCG00000000578	protein_coding
med22	ENSLOCG00000000579	protein_coding
CREM	ENSLOCG00000000580	protein_coding
prpf4	ENSLOCG00000000581	protein_coding
	ENSLOCG00000000582	protein_coding
	ENSLOCG00000000583	protein_coding
ago4	ENSLOCG00000000584	protein_coding
adss2	ENSLOCG00000000585	protein_coding
	ENSLOCG00000000586	protein_coding
	ENSLOCG00000000587	protein_coding
	ENSLOCG00000000588	protein_coding
fxr1	ENSLOCG00000000589	protein_coding
reep6	ENSLOCG00000000590	protein_coding
	ENSLOCG00000000591	protein_coding
si:ch73-206d17.1	ENSLOCG00000000592	protein_coding
	ENSLOCG00000000593	protein_coding
	ENSLOCG00000000594	protein_coding
	ENSLOCG00000000595	protein_coding
	ENSLOCG00000000596	pseudogene
	ENSLOCG00000000597	protein_coding
	ENSLOCG00000000598	protein_coding
	ENSLOCG00000000599	protein_coding
	ENSLOCG00000000600	protein_coding
	ENSLOCG00000000601	protein_coding
	ENSLOCG00000000602	protein_coding
	ENSLOCG00000000603	protein_coding
ighv6-1	ENSLOCG00000000604	protein_coding
	ENSLOCG00000000605	protein_coding
	ENSLOCG00000000606	protein_coding
	ENSLOCG00000000607	protein_coding
CDYL2	ENSLOCG00000000608	protein_coding
zc3h7a	ENSLOCG00000000609	protein_coding
	ENSLOCG00000000610	protein_coding
	ENSLOCG00000000611	protein_coding
	ENSLOCG00000000612	protein_coding
	ENSLOCG00000000613	protein_coding
adcy2a	ENSLOCG00000000614	protein_coding
	ENSLOCG00000000615	protein_coding
	ENSLOCG00000000616	protein_coding
mrpl11	ENSLOCG00000000617	protein_coding
	ENSLOCG00000000618	protein_coding
fut11	ENSLOCG00000000619	protein_coding
ago1	ENSLOCG00000000620	protein_coding
	ENSLOCG00000000621	protein_coding
RNF224	ENSLOCG00000000622	protein_coding
	ENSLOCG00000000623	protein_coding
dnajc19	ENSLOCG00000000624	protein_coding
	ENSLOCG00000000625	protein_coding
	ENSLOCG00000000626	protein_coding
	ENSLOCG00000000627	protein_coding
	ENSLOCG00000000628	protein_coding
	ENSLOCG00000000629	protein_coding
si:ch73-238c9.1	ENSLOCG00000000630	protein_coding
CLSPN	ENSLOCG00000000631	protein_coding
	ENSLOCG00000000632	protein_coding
	ENSLOCG00000000633	protein_coding
ighv6-1	ENSLOCG00000000634	protein_coding
CTDSP1	ENSLOCG00000000635	protein_coding
	ENSLOCG00000000636	protein_coding
	ENSLOCG00000000637	protein_coding
	ENSLOCG00000000638	protein_coding
	ENSLOCG00000000639	protein_coding
	ENSLOCG00000000640	protein_coding
usf1	ENSLOCG00000000641	protein_coding
	ENSLOCG00000000642	protein_coding
	ENSLOCG00000000643	protein_coding
	ENSLOCG00000000644	protein_coding
	ENSLOCG00000000645	protein_coding
	ENSLOCG00000000646	protein_coding
cmc2	ENSLOCG00000000647	protein_coding
	ENSLOCG00000000648	protein_coding
LRRC56	ENSLOCG00000000649	protein_coding
npas4a	ENSLOCG00000000650	protein_coding
zgc:92162	ENSLOCG00000000651	protein_coding
	ENSLOCG00000000652	protein_coding
cgref1	ENSLOCG00000000653	protein_coding
ralgapb	ENSLOCG00000000654	protein_coding
cul2	ENSLOCG00000000655	protein_coding
	ENSLOCG00000000656	protein_coding
alad	ENSLOCG00000000657	protein_coding
	ENSLOCG00000000658	protein_coding
ATP11B	ENSLOCG00000000659	protein_coding
	ENSLOCG00000000660	protein_coding
apc2	ENSLOCG00000000661	protein_coding
	ENSLOCG00000000662	protein_coding
	ENSLOCG00000000663	protein_coding
C1orf216	ENSLOCG00000000664	protein_coding
pip4p1a	ENSLOCG00000000665	protein_coding
	ENSLOCG00000000666	protein_coding
ighv6-2	ENSLOCG00000000667	protein_coding
	ENSLOCG00000000668	protein_coding
zbtb40	ENSLOCG00000000669	protein_coding
	ENSLOCG00000000670	pseudogene
	ENSLOCG00000000671	protein_coding
	ENSLOCG00000000672	protein_coding
	ENSLOCG00000000673	protein_coding
sfxn2	ENSLOCG00000000674	protein_coding
aig1	ENSLOCG00000000675	protein_coding
	ENSLOCG00000000676	protein_coding
	ENSLOCG00000000677	protein_coding
	ENSLOCG00000000678	protein_coding
